,code,Mean-Peak,Mean-SD,SD-X,SD-Y,Mean-X,Mean-y
94,"[47, 79, 63, 57]",23.164758,3.113693,0.075080,0.083015,1137.047044,908.538143
95,"[79, 53]",14.099453,12.352946,0.112450,0.147727,1411.832041,304.478506
96,"[58, 72, 48]",16.226326,9.484303,0.125077,0.146465,2010.674733,1775.265476
97,"[47, 79, 57]",16.544092,8.529250,0.121870,0.156666,164.201743,1237.129201
98,"[64, 76]",21.473176,4.672734,0.041102,0.024355,121.064569,1064.489635
99,"[56, 80, 49]",11.249290,10.608553,0.135363,0.342405,305.023697,1294.709602
100,"[76, 57]",26.200025,0.209625,0.056227,0.025384,547.764582,673.210660
101,"[61, 48]",15.374007,10.532521,0.336257,0.108351,1896.558531,1577.197814
102,"[58, 74, 46]",22.410759,2.478338,0.069762,0.027047,650.697546,1423.448593
103,"[70, 46, 60]",16.007835,7.861184,0.058487,0.304271,699.721851,1623.121322
104,"[70, 60]",16.271438,9.617113,0.026523,0.370974,699.760269,1623.100914
105,"[71, 76, 61, 50]",15.321442,8.676937,0.117495,0.125834,1606.277631,1064.294506
106,"[47, 63, 57, 79]",17.764858,4.783401,0.062792,0.067986,1131.929722,1635.830757
107,"[55, 73, 70]",14.348334,9.510195,0.053450,0.381164,24.204085,435.359616
108,"[73, 55, 47]",15.307598,9.228600,0.029367,0.221545,1103.346653,525.105920
109,"[46, 65]",14.161990,11.533371,0.165202,0.326878,1015.982986,794.114799
110,"[61, 79, 53]",18.429743,8.900761,0.080983,0.035147,1484.618282,1334.267316
111,"[74, 63]",16.737964,8.816766,0.084800,0.046483,939.213706,767.157596
112,"[74, 63]",16.737964,8.816766,0.084800,0.046483,939.213706,767.157596
113,"[79, 63]",24.000522,1.554103,0.035109,0.108856,1137.075128,908.513511
114,"[72, 70, 55, 53]",14.724146,6.419268,0.015077,0.089250,1587.109632,95.832035
115,"[76, 49]",16.473409,8.989414,0.134425,0.100240,329.984379,606.045795
116,"[66, 59, 50]",14.563167,9.532850,0.139060,0.260948,812.181005,1438.584277
117,"[80, 66, 56, 52]",14.933562,8.256916,0.036173,0.385079,1436.855617,810.477974
118,"[64, 80, 49, 62]",13.370098,8.026561,0.085670,0.354369,463.934318,486.732447
119,"[70, 76, 57]",12.711678,8.908549,0.229875,0.408895,860.753994,1788.456199
120,"[58, 46]",20.500574,4.408475,0.011258,0.025377,1034.490589,457.128713
121,"[71, 62, 74, 50]",12.557522,8.829710,0.334872,0.091111,319.159340,581.827941
122,"[74, 58, 67]",20.893282,4.026300,0.094137,0.024634,1359.280836,993.146707
123,"[58, 46, 67, 77]",15.605061,8.541245,0.138217,0.127428,115.536916,1034.541065
124,"[55, 49]",14.456672,10.351635,0.085416,0.183818,847.476738,996.912498
125,"[61, 65]",21.781701,3.020613,0.063442,0.118876,937.732065,1857.033940
126,"[65, 62, 79]",15.508775,7.781966,0.210807,0.040272,387.297541,872.239341
127,"[72, 65, 53]",16.711550,10.647990,0.059200,0.260589,249.539991,1781.646012
128,"[61, 79, 53]",18.374718,8.922785,0.080983,0.035147,1484.618282,1334.267316
129,"[72, 55]",24.035812,0.530104,0.086231,0.021009,963.286879,693.142166
130,"[72, 46, 55]",22.253797,1.668952,0.077994,0.063873,2032.851257,1970.060401
131,"[71, 61, 73]",18.526331,10.773670,0.016848,0.049681,2034.908599,1581.358721
132,"[58, 74, 46]",19.154811,3.786366,0.130733,0.228766,127.246910,993.681804
